策略,交易笔数,胜率,总收益,最大回撤,平均持仓,盈亏比
MA60_突破拉回,49.8,28.4%,+10.73%,10.15%,10.9天,3.99
MA60_突破拉回止损_10,49.6,28.8%,+10.39%,9.77%,10.9天,3.85
MA60_突破拉回ATR,49.8,28.4%,+10.66%,10.10%,10.9天,3.99
MA60_突破拉回优化版,32.6,44.7%,+18.98%,11.58%,22.3天,2.66
MA60_突破拉回优化版止损_10,24.9,53.4%,+6.38%,12.88%,25.7天,1.18
MA60_突破拉回优化版ATR,33.4,47.9%,+18.72%,12.19%,21.7天,2.26
MA60_成交量,35.0,38.5%,+5.82%,9.19%,9.8天,2.26
MA60_成交量止损_10,34.2,39.5%,+7.28%,8.77%,10.1天,2.43
MA60_成交量ATR,34.3,39.1%,+5.84%,8.93%,10.0天,2.21
MA60_成交量限制优化版,26.0,47.0%,+11.62%,10.94%,19.1天,2.08
MA60_成交量限制优化版止损_10,20.8,59.4%,+14.85%,12.56%,26.9天,1.43
MA60_成交量限制优化版ATR,23.9,49.8%,+13.01%,11.09%,21.1天,2.09
MA60_突破拉回_加仓,56.7,28.9%,+10.39%,11.50%,11.5天,3.69
MA60_突破拉回ATR止损版_加仓,56.7,28.9%,+10.22%,11.51%,11.5天,3.67
MA60_突破拉回优化版_加仓,40.8,41.0%,+19.17%,13.15%,20.8天,2.79
MA60_成交量_加仓,44.3,33.6%,+6.47%,12.31%,11.8天,2.63
MA60_成交量限制优化版_加仓,33.9,42.9%,+15.32%,14.28%,17.5天,2.58
MA60+MA120,49.8,28.4%,+10.73%,10.15%,10.9天,3.99
