策略,交易笔数,胜率,总收益,最大回撤,平均持仓,盈亏比
MA60_突破拉回,49.5,28.6%,+11.37%,10.56%,11.0天,4.03
MA60_突破拉回止损_10,49.4,28.8%,+11.42%,9.82%,11.0天,3.96
MA60_突破拉回ATR,49.3,27.8%,+11.38%,10.23%,11.1天,4.18
MA60_突破拉回优化版,31.8,45.6%,+7.02%,12.00%,21.5天,1.73
MA60_突破拉回优化版止损_10,24.4,52.6%,+2.81%,12.63%,26.5天,1.04
MA60_突破拉回优化版ATR,35.6,46.4%,+12.76%,11.41%,20.2天,1.90
MA60_成交量,33.9,39.5%,+4.31%,8.36%,9.8天,2.00
MA60_成交量止损_10,33.5,39.8%,+5.62%,8.16%,9.9天,2.21
MA60_成交量ATR,33.8,38.8%,+3.51%,9.00%,10.0天,1.96
MA60_成交量限制优化版,25.6,47.8%,+9.97%,10.94%,18.8天,1.84
MA60_成交量限制优化版止损_10,20.5,58.9%,+13.63%,12.52%,26.7天,1.37
MA60_成交量限制优化版ATR,27.1,47.1%,+9.68%,10.52%,19.5天,1.83
MA60_突破拉回_加仓,55.9,30.1%,+12.44%,11.90%,11.9天,3.73
MA60_突破拉回ATR止损版_加仓,55.3,29.3%,+12.34%,11.70%,12.1天,3.86
MA60_突破拉回优化版_加仓,41.2,40.1%,+7.11%,14.14%,19.1天,1.95
MA60_成交量_加仓,42.0,34.5%,+4.38%,11.21%,11.7天,2.31
MA60_成交量限制优化版_加仓,32.9,44.5%,+14.15%,14.01%,17.4天,2.34
MA60+MA120,49.5,28.6%,+11.37%,10.56%,11.0天,4.03
