# 过滤后保留的可回测指数（共 727 个：行业 212 + 主题 515）
# 过滤规则: 6条(见 spec §2.2)，规则3含 name 币种过滤
# 格式: ts_code | name | category | list_date

    930734.CSI  |  360互联+  |  主题指数  |  20150810
    931491.CSI  |  5G100  |  主题指数  |  20200612
    931406.CSI  |  5G50  |  主题指数  |  20200220
    931079.CSI  |  5G通信  |  主题指数  |  20190425
    931441.CSI  |  AI50  |  主题指数  |  20200506
    000805.CSI  |  A股资源  |  主题指数  |  20120106
    931398.CSI  |  A股通100  |  主题指数  |  20200220
    931397.CSI  |  A股通50  |  主题指数  |  20200220
    930927.CSI  |  CR基石  |  主题指数  |  20161223
    930928.CSI  |  CR新动能  |  主题指数  |  20161223
    930620.CSI  |  CSSW丝路  |  主题指数  |  20150423
    930661.CSI  |  CSSW互金  |  主题指数  |  20150624
    930660.CSI  |  CSSW体育  |  主题指数  |  20150624
    930629.CSI  |  CSSW健康  |  主题指数  |  20150508
    930621.CSI  |  CSSW高铁  |  主题指数  |  20150423
    930745.CSI  |  CSWD数据  |  主题指数  |  20150826
    930640.CSI  |  CSWD重组  |  主题指数  |  20150508
    930700.CSI  |  CS上海  |  主题指数  |  20150709
    930732.CSI  |  CS中国造  |  主题指数  |  20150810
    930728.CSI  |  CS乐园  |  主题指数  |  20150805
    930720.CSI  |  CS互医疗  |  主题指数  |  20150805
    930722.CSI  |  CS互平台  |  主题指数  |  20150805
    930733.CSI  |  CS互联+  |  主题指数  |  20150810
    930701.CSI  |  CS京津冀  |  主题指数  |  20150709
    930713.CSI  |  CS人工智  |  主题指数  |  20150731
    930654.CSI  |  CS休闲娱  |  主题指数  |  20150605
    930845.CSI  |  CS供给侧  |  主题指数  |  20160624
    931152.CSI  |  CS创新药  |  主题指数  |  20190422
    930624.CSI  |  CS医药  |  主题指数  |  20150428
    931383.CSI  |  CS医药50  |  主题指数  |  20191226
    930791.CSI  |  CS医药TI  |  主题指数  |  20160322
    931484.CSI  |  CS医药创新  |  主题指数  |  20200506
    931355.CSI  |  CS周期  |  主题指数  |  20191115
    930634.CSI  |  CS土改农  |  主题指数  |  20150508
    930623.CSI  |  CS娱乐  |  主题指数  |  20150428
    930790.CSI  |  CS娱乐TI  |  主题指数  |  20160322
    931665.CSI  |  CS常州  |  主题指数  |  20210409
    930704.CSI  |  CS广东  |  主题指数  |  20150709
    930763.CSI  |  CS房天下  |  主题指数  |  20150923
    930771.CSI  |  CS新能源  |  主题指数  |  20151216
    930635.CSI  |  CS智慧农  |  主题指数  |  20150508
    930721.CSI  |  CS智汽车  |  主题指数  |  20150805
    930648.CSI  |  CS智消费  |  主题指数  |  20150605
    930711.CSI  |  CS智穿戴  |  主题指数  |  20150731
    930715.CSI  |  CS朝阳88  |  主题指数  |  20150805
    931720.CSI  |  CS武进  |  主题指数  |  20210819
    930698.CSI  |  CS水利  |  主题指数  |  20150731
    931354.CSI  |  CS消费  |  主题指数  |  20191115
    931139.CSI  |  CS消费50  |  主题指数  |  20190320
    930716.CSI  |  CS物流  |  主题指数  |  20150731
    930712.CSI  |  CS物联网  |  主题指数  |  20150731
    930662.CSI  |  CS现代农  |  主题指数  |  20150713
    930882.CSI  |  CS珠三角  |  主题指数  |  20160817
    930726.CSI  |  CS生医  |  主题指数  |  20150805
    930652.CSI  |  CS电子  |  主题指数  |  20150605
    931719.CSI  |  CS电池  |  主题指数  |  20130715
    931353.CSI  |  CS科技  |  主题指数  |  20191115
    930632.CSI  |  CS稀金属  |  主题指数  |  20150512
    930719.CSI  |  CS精准医  |  主题指数  |  20150805
