# 被过滤掉的主题/行业指数变体（共 2689 个）
# 全收益/币种/规模口径/企业属性/港股/三板/策略变体，回测会污染对比

    931782.CSI  |  1000ESG  |  主题指数
931782CNY010.CSI  |  1000ESG全收益  |  主题指数
    931686.CSI  |  1000ESG领先  |  主题指数
931686CNY010.CSI  |  1000ESG领先全收益  |  主题指数
    931088.CSI  |  180ESG  |  主题指数
931088CNY01.CSI  |  180ESG全收益  |  主题指数
    950224.CSI  |  180ESG基准  |  主题指数
950224CNY01.CSI  |  180ESG基准全收益  |  主题指数
    950226.CSI  |  180ESG领先  |  主题指数
950226CNY01.CSI  |  180ESG领先全收益  |  主题指数
    H00025.CSI  |  180基收  |  主题指数
    H00021.CSI  |  180治收  |  主题指数
    950081.CSI  |  180碳效  |  主题指数
    H40081.CSI  |  180碳效全收益  |  主题指数
    H00026.CSI  |  180资收  |  主题指数
    H00027.CSI  |  180运收  |  主题指数
    H50007.CSI  |  180金融地产  |  主题指数
    H40007.CSI  |  180金融地产全收益  |  主题指数
    932576.CSI  |  2000ESG  |  主题指数
932576CNY010.CSI  |  2000ESG全收益  |  主题指数
    932577.CSI  |  2000ESG领先  |  主题指数
932577CNY010.CSI  |  2000ESG领先全收益  |  主题指数
    931463.CSI  |  300ESG  |  主题指数
    921463.CSI  |  300ESG全收益  |  主题指数
    931465.CSI  |  300ESG领先  |  主题指数
    921465.CSI  |  300ESG领先全收益  |  主题指数
    H30079.CSI  |  300信服  |  主题指数
    H20079.CSI  |  300信服全收益  |  主题指数
    H30081.CSI  |  300公运  |  主题指数
    H20081.CSI  |  300公运全收益  |  主题指数
    930884.CSI  |  300创新  |  主题指数
    H20884.CSI  |  300创新全收益  |  主题指数
    000968.CSI  |  300周期  |  主题指数
    H00968.CSI  |  300周期全收益  |  主题指数
    000950.CSI  |  300基建  |  主题指数
    H00950.CSI  |  300基收  |  主题指数
    000972.CSI  |  300沪市  |  主题指数
    H00972.CSI  |  300沪市全收益  |  主题指数
    H30080.CSI  |  300消服  |  主题指数
    H20080.CSI  |  300消服全收益  |  主题指数
    931859.CSI  |  300碳中和  |  主题指数
931859CNY01.CSI  |  300碳中和全收益  |  主题指数
    H00914.CSI  |  300金融地产全收益  |  主题指数
    931896.CSI  |  300银保  |  主题指数
931896CNY01.CSI  |  300银保全收益  |  主题指数
    000969.CSI  |  300非周  |  主题指数
    H00969.CSI  |  300非周全收益  |  主题指数
    H30035.CSI  |  300非银  |  主题指数
    H20035.CSI  |  300非银全收益  |  主题指数
    H20734.CSI  |  360互联+全收益  |  主题指数
    950225.CSI  |  380ESG  |  主题指数
950225CNY01.CSI  |  380ESG全收益  |  主题指数
    950227.CSI  |  380ESG领先  |  主题指数
950227CNY01.CSI  |  380ESG领先全收益  |  主题指数
    950107.CSI  |  380创新  |  主题指数
    H40107.CSI  |  380创新全收益  |  主题指数
    931648.CSI  |  500ESG  |  主题指数
    931661.CSI  |  500ESG价值  |  主题指数
931661CNY01.CSI  |  500ESG价值全收益  |  主题指数
931648CNY01.CSI  |  500ESG全收益  |  主题指数
931648CNY02.CSI  |  500ESG净收益  |  主题指数
    931649.CSI  |  500ESG领先  |  主题指数
