策略,交易笔数,胜率,总收益,最大回撤,平均持仓,盈亏比
MA60_突破拉回,49.0,31.4%,+52.10%,7.04%,12.6天,8.71
MA60_突破拉回止损_10,48.3,32.1%,+52.48%,7.33%,12.8天,8.50
MA60_突破拉回ATR,48.9,31.4%,+52.39%,7.13%,12.6天,8.85
MA60_突破拉回优化版,31.9,47.6%,+56.43%,8.92%,24.8天,5.40
MA60_突破拉回优化版止损_10,28.4,61.7%,+15.98%,10.11%,26.6天,1.25
MA60_突破拉回优化版ATR,32.7,49.5%,+54.83%,9.39%,24.1天,4.62
MA60_成交量,40.7,32.9%,+8.74%,10.28%,9.4天,3.19
MA60_成交量止损_10,39.3,34.2%,+9.77%,9.42%,9.7天,3.31
MA60_成交量ATR,39.9,33.2%,+8.89%,9.99%,9.6天,3.18
MA60_成交量限制优化版,28.5,48.7%,+14.75%,11.09%,18.7天,2.17
MA60_成交量限制优化版止损_10,24.2,63.7%,+20.06%,13.61%,25.4天,1.39
MA60_成交量限制优化版ATR,26.2,51.0%,+15.79%,11.44%,20.7天,2.20
MA60_突破拉回_加仓,52.2,31.7%,+70.51%,8.26%,14.9天,11.54
MA60_突破拉回ATR止损版_加仓,51.3,32.3%,+71.73%,8.39%,15.1天,11.95
MA60_突破拉回优化版_加仓,37.4,43.6%,+74.66%,9.73%,25.2天,7.54
MA60_成交量_加仓,49.6,28.7%,+8.45%,14.08%,10.1天,3.51
MA60_成交量限制优化版_加仓,36.8,42.2%,+15.59%,14.03%,16.8天,2.51
MA60+MA120,49.0,31.4%,+52.10%,7.04%,12.6天,8.71
